f1,f2,f3,f4,label
4.74,3.14,2.21,1.13,1
4.82,3.03,2.26,1.37,1
1.09,2.23,3.37,4.43,0
1.13,2.19,3.30,4.38,0
1.09,2.11,3.17,4.48,0
4.82,3.24,2.11,1.33,1
1.13,2.13,3.54,4.03,0
4.78,3.01,2.14,1.29,1
4.71,3.07,2.00,1.19,1
1.38,2.32,3.24,4.42,0
1.23,2.01,3.00,4.24,0
4.54,3.35,2.15,1.20,1
1.33,2.39,3.17,4.42,0
4.59,3.25,2.38,1.33,1
1.11,2.37,3.23,4.39,0
4.76,3.20,2.22,1.29,1
1.15,2.02,3.40,4.27,0
4.62,3.12,2.35,1.37,1
4.76,3.25,2.37,1.11,1
1.16,2.10,3.22,4.27,0
1.23,2.14,3.51,4.15,0
1.39,2.23,3.59,4.39,0
1.36,2.02,3.03,4.18,0
1.25,2.05,3.10,4.26,0
1.08,2.02,3.47,4.16,0
1.05,2.18,3.05,4.08,0
4.63,3.00,2.39,1.36,1
4.58,3.01,2.22,1.04,1
4.75,3.32,2.15,1.20,1
4.58,3.10,2.38,1.10,1
4.44,3.39,2.02,1.09,1
1.20,2.12,3.13,4.09,0
4.62,3.13,2.21,1.39,1
1.39,2.33,3.09,4.20,0
1.27,2.25,3.38,4.38,0
4.86,3.28,2.02,1.20,1
1.21,2.27,3.26,4.46,0
4.41,3.04,2.22,1.26,1
1.13,2.06,3.12,4.13,0
4.68,3.21,2.05,1.27,1
1.18,2.39,3.49,4.14,0
4.45,3.09,2.11,1.39,1
1.20,2.23,3.25,4.08,0
4.42,3.13,2.01,1.17,1
4.72,3.14,2.06,1.32,1
1.12,2.12,3.22,4.16,0
1.22,2.21,3.16,4.32,0
1.15,2.10,3.18,4.12,0
4.65,3.27,2.33,1.32,1
4.88,3.24,2.23,1.38,1
4.74,3.05,2.18,1.11,1
4.46,3.32,2.27,1.26,1
4.72,3.19,2.28,1.03,1
4.49,3.10,2.04,1.01,1
1.07,2.12,3.57,4.41,0
1.29,2.24,3.06,4.15,0
1.09,2.25,3.17,4.34,0
4.65,3.27,2.28,1.24,1
1.30,2.18,3.49,4.13,0
1.32,2.27,3.01,4.01,0
4.52,3.27,2.08,1.03,1
1.29,2.34,3.46,4.42,0
4.65,3.19,2.28,1.37,1
1.06,2.32,3.48,4.47,0
4.58,3.27,2.01,1.05,1
1.36,2.01,3.08,4.09,0
1.15,2.39,3.52,4.39,0
4.88,3.01,2.31,1.28,1
4.89,3.17,2.08,1.22,1
4.80,3.36,2.08,1.10,1
4.72,3.08,2.10,1.27,1
4.61,3.26,2.05,1.36,1
1.00,2.07,3.46,4.02,0
1.09,2.14,3.08,4.12,0
1.26,2.13,3.18,4.02,0
4.46,3.04,2.20,1.23,1
1.25,2.31,3.54,4.42,0
4.43,3.39,2.25,1.02,1
1.06,2.04,3.41,4.43,0
4.40,3.06,2.03,1.39,1
4.60,3.33,2.00,1.02,1
1.27,2.19,3.54,4.43,0
4.67,3.15,2.26,1.31,1
4.89,3.29,2.32,1.04,1
4.62,3.28,2.00,1.31,1
1.22,2.10,3.35,4.09,0
4.56,3.29,2.19,1.13,1
1.14,2.01,3.43,4.31,0
1.01,2.05,3.02,4.33,0
1.37,2.32,3.40,4.13,0
1.01,2.15,3.59,4.27,0
4.50,3.18,2.39,1.12,1
4.43,3.06,2.31,1.08,1
4.69,3.07,2.02,1.28,1
4.46,3.37,2.28,1.22,1
1.19,2.14,3.20,4.35,0
1.03,2.27,3.16,4.43,0
1.14,2.37,3.42,4.42,0
1.10,2.37,3.13,4.01,0
4.66,3.04,2.06,1.28,1
