f1,f2,f3,f4,label
4.88,3.18,2.31,1.30,1
4.80,3.24,2.27,1.24,1
4.75,3.00,2.17,1.27,1
4.79,3.14,2.07,1.33,1
1.20,2.30,3.11,4.08,0
4.84,3.04,2.26,1.04,1
4.59,3.31,2.25,1.09,1
4.41,3.01,2.22,1.30,1
4.60,3.14,2.10,1.27,1
1.34,2.39,3.52,4.10,0
4.67,3.15,2.22,1.29,1
1.36,2.13,3.53,4.41,0
4.60,3.23,2.36,1.06,1
1.24,2.16,3.02,4.25,0
4.55,3.38,2.01,1.29,1
1.38,2.36,3.30,4.01,0
1.26,2.35,3.38,4.22,0
4.42,3.38,2.02,1.05,1
4.55,3.03,2.20,1.10,1
1.19,2.15,3.46,4.04,0
4.53,3.25,2.05,1.01,1
1.14,2.13,3.35,4.28,0
1.00,2.21,3.40,4.01,0
1.30,2.19,3.42,4.14,0
4.82,3.35,2.21,1.39,1
4.52,3.38,2.32,1.10,1
1.24,2.14,3.20,4.27,0
4.72,3.28,2.27,1.23,1
4.79,3.12,2.20,1.00,1
1.36,2.23,3.13,4.08,0
1.06,2.33,3.21,4.09,0
1.12,2.01,3.55,4.37,0
4.61,3.02,2.07,1.01,1
1.21,2.19,3.34,4.04,0
4.52,3.11,2.07,1.09,1
1.24,2.35,3.08,4.37,0
4.76,3.24,2.19,1.36,1
4.59,3.32,2.32,1.08,1
1.25,2.22,3.58,4.16,0
4.79,3.13,2.03,1.04,1
4.83,3.27,2.38,1.03,1
1.00,2.03,3.51,4.08,0
1.11,2.12,3.10,4.08,0
4.49,3.34,2.13,1.21,1
4.80,3.04,2.02,1.17,1
1.25,2.32,3.04,4.25,0
4.43,3.33,2.00,1.30,1
4.84,3.05,2.35,1.06,1
1.04,2.12,3.34,4.22,0
4.65,3.16,2.24,1.22,1
1.30,2.15,3.34,4.21,0
1.07,2.02,3.33,4.03,0
1.12,2.10,3.22,4.00,0
1.27,2.23,3.17,4.14,0
1.20,2.23,3.09,4.22,0
4.83,3.25,2.20,1.36,1
4.50,3.10,2.08,1.03,1
1.30,2.18,3.02,4.29,0
4.46,3.15,2.33,1.12,1
1.32,2.24,3.14,4.24,0
4.51,3.11,2.37,1.10,1
1.03,2.12,3.55,4.42,0
1.33,2.09,3.32,4.20,0
4.81,3.10,2.03,1.05,1
1.03,2.10,3.33,4.21,0
4.43,3.25,2.05,1.33,1
4.89,3.02,2.26,1.16,1
4.82,3.12,2.39,1.30,1
1.08,2.37,3.43,4.40,0
1.11,2.39,3.08,4.32,0
1.20,2.20,3.32,4.42,0
1.35,2.17,3.25,4.40,0
1.14,2.12,3.06,4.30,0
1.06,2.20,3.06,4.04,0
1.01,2.22,3.00,4.05,0
4.85,3.23,2.08,1.22,1
4.46,3.05,2.27,1.22,1
1.32,2.01,3.03,4.37,0
1.32,2.11,3.47,4.35,0
1.17,2.01,3.35,4.01,0
4.68,3.24,2.13,1.14,1
4.66,3.37,2.28,1.33,1
1.28,2.30,3.21,4.29,0
4.58,3.35,2.23,1.02,1
1.05,2.17,3.45,4.42,0
4.57,3.21,2.24,1.19,1
4.59,3.32,2.30,1.00,1
4.62,3.37,2.05,1.19,1
1.17,2.13,3.28,4.30,0
1.26,2.25,3.44,4.39,0
4.82,3.35,2.11,1.24,1
4.55,3.07,2.39,1.14,1
4.65,3.37,2.21,1.36,1
4.49,3.35,2.16,1.01,1
4.41,3.30,2.20,1.28,1
1.13,2.12,3.41,4.17,0
1.29,2.06,3.27,4.40,0
1.21,2.01,3.13,4.39,0
1.28,2.03,3.06,4.19,0
1.07,2.39,3.35,4.28,0
